DateClean,cafe,SubTotal,Items,Proj_Calories,Count,Bottled_LC,Bottled_HC,LC%,TotalSales,DateClean,cafe,Day_of_Week,Week,Treatment,Coupon,Week_of_Qtr,2,3,4,5,1,Cal_p_Dollar
2014-03-03,Law,3.4459504132231493,1.4586776859504131,244.92742078764536,484,87,47,0.6492537313432836,1667.8400000000042,2014-03-03,Law,1,2014_Winter_W8,BL2,0,8,0,0,0,0,1,71.0768848697837
2014-03-03,Stuart,4.780189873417726,1.6075949367088607,326.9812326094097,316,35,38,0.4794520547945205,1510.5400000000013,2014-03-03,Stuart,1,2014_Winter_W8,BL2,0,8,0,0,0,0,1,68.40339845656081
2014-03-04,GCIS,4.529809523809528,1.6333333333333333,334.82032088223883,210,28,34,0.45161290322580644,951.260000000001,2014-03-04,GCIS,2,2014_Winter_W8,BL2,0,8,1,0,0,0,0,73.91487856660649
2014-03-04,Harris,3.424884792626731,1.391705069124424,230.01516484201477,217,23,24,0.48936170212765956,743.2000000000006,2014-03-04,Harris,2,2014_Winter_W8,BL2,0,8,1,0,0,0,0,67.15997143530296
2014-03-04,Law,3.0606986899563426,1.425764192139738,208.2870652074443,458,82,33,0.7130434782608696,1401.800000000005,2014-03-04,Law,2,2014_Winter_W8,BL2,0,8,1,0,0,0,0,68.05213002212095
2014-03-04,Stuart,4.396997319034859,1.5978552278820375,298.63684376949254,373,43,44,0.4942528735632184,1640.0800000000024,2014-03-04,Stuart,2,2014_Winter_W8,BL2,0,8,1,0,0,0,0,67.91835930321726
2014-03-05,GCIS,4.9338235294117725,1.680672268907563,379.5374723469215,238,33,36,0.4782608695652174,1174.2500000000018,2014-03-05,GCIS,3,2014_Winter_W8,BL2,0,8,0,1,0,0,0,76.92562777821348
2014-03-05,Harris,3.815186915887853,1.5,287.13187640161556,214,24,31,0.43636363636363634,816.4500000000005,2014-03-05,Harris,3,2014_Winter_W8,BL2,0,8,0,1,0,0,0,75.26023828764247
2014-03-05,Law,3.679354005167967,1.4392764857881137,257.9757112287472,387,82,45,0.6456692913385826,1423.9100000000033,2014-03-05,Law,3,2014_Winter_W8,BL2,0,8,0,1,0,0,0,70.11440347039134
2014-03-05,Stuart,4.663347280334731,1.5732217573221758,316.8590982459633,239,35,35,0.5,1114.5400000000009,2014-03-05,Stuart,3,2014_Winter_W8,BL2,0,8,0,1,0,0,0,67.94670849030558
