DateClean,cafe,SubTotal,Items,Proj_Calories,Count,Bottled_LC,Bottled_HC,LC%,TotalSales,Day_of_Week,Week,Treatment,Coupon,Week_of_Qtr,2,3,4,5,1,Cal_p_Dollar
12/1/14,Harris,3.95,1.46,275.08,166,4,7,36.36%,656.28,1,2014_Fall_W9,BL1,0,9,0,0,0,0,1,69.58
12/1/14,Law,3.44,1.40,218.01,468,49,32,60.49%,1607.85,1,2014_Fall_W9,BL1,0,9,0,0,0,0,1,63.46
12/1/14,Stuart,4.61,1.52,327.94,163,2,19,9.52%,751.72,1,2014_Fall_W9,BL1,0,9,0,0,0,0,1,71.11
12/2/14,GCIS,4.84,1.66,354.48,250,10,42,19.23%,1209.27,2,2014_Fall_W9,BL1,0,9,1,0,0,0,0,73.28
12/2/14,Harris,3.44,1.37,221.57,191,8,7,53.33%,656.92,2,2014_Fall_W9,BL1,0,9,1,0,0,0,0,64.42
12/2/14,Law,3.34,1.37,206.85,362,46,22,67.65%,1207.9,2,2014_Fall_W9,BL1,0,9,1,0,0,0,0,61.99
12/2/14,Stuart,4.74,1.57,319.39,240,6,24,20.00%,1136.86,2,2014_Fall_W9,BL1,0,9,1,0,0,0,0,67.43
12/3/14,GCIS,4.51,1.52,324.34,258,8,31,20.51%,1164.36,3,2014_Fall_W9,BL1,0,9,0,1,0,0,0,71.87
12/3/14,Harris,4.14,1.46,309.58,142,5,21,19.23%,587.65,3,2014_Fall_W9,BL1,0,9,0,1,0,0,0,74.81
12/3/14,Law,2.46,1.13,107.45,24,4,4,50.00%,58.92,3,2014_Fall_W9,BL1,0,9,0,1,0,0,0,43.77
12/3/14,Stuart,4.87,1.57,347.91,150,2,17,10.53%,730.1,3,2014_Fall_W9,BL1,0,9,0,1,0,0,0,71.48
12/4/14,GCIS,4.54,1.56,322.89,257,9,34,20.93%,1167.9,4,2014_Fall_W9,BL1,0,9,0,0,1,0,0,71.05
12/4/14,Harris,3.98,1.50,285.14,195,7,21,25.00%,776.4,4,2014_Fall_W9,BL1,0,9,0,0,1,0,0,71.61
12/4/14,Law,3.30,1.31,210.55,483,50,28,64.10%,1592.36,4,2014_Fall_W9,BL1,0,9,0,0,1,0,0,63.86
12/4/14,Stuart,4.92,1.61,360.65,124,2,15,11.76%,609.54,4,2014_Fall_W9,BL1,0,9,0,0,1,0,0,73.37
12/5/14,GCIS,4.71,1.52,328.82,217,8,25,24.24%,1021.02,5,2014_Fall_W9,BL1,0,9,0,0,0,1,0,69.89
